5
I Promessi Sposi,Alessandro Manzoni,1827,720,1
Cuore,Edmondo De Amicis,1886,300,1
Divina Commedia,Dante Alighieri,1321,798,2
Moby Dick,Herman Melville,1851,635,2
Guerra e pace,Lev Tolstoj,1869,1225,3
Se questo è un uomo,Primo Levi,1947,240,3
Anna Karenina,Lev Tolstoj,1877,864,4
La coscienza di Zeno,Italo Svevo,1923,432,5
Madame Bovary,Gustave Flaubert,1857,350,5
Il nome della rosa,Umberto Eco,1980,512,1
I Malavoglia,Giovanni Verga,1881,380,5
Cent'anni di solitudine,Gabriel Garcia Marquez,1967,422,2
La nausea,Jean-Paul Sartre,1938,254,2
Delitto e castigo,Fedor Dostoevskij,1866,671,3
Il barone rampante,Italo Calvino,1957,320,3
Orgoglio e pregiudizio,Jane Austen,1813,432,4
Il visconte dimezzato,Italo Calvino,1952,180,4
Ulisse,James Joyce,1922,730,5
Il cavaliere inesistente,Italo Calvino,1959,160,5
La luna e i falò,Cesare Pavese,1950,220,2
Siddhartha,Hermann Hesse,1922,152,1
Uno nessuno e centomila,Luigi Pirandello,1926,260,2
Il giovane Holden,J. D. Salinger,1951,277,2
Il fu Mattia Pascal,Luigi Pirandello,1904,320,5
1984,George Orwell,1949,328,3
Canne al vento,Grazia Deledda,1913,210,4
La fattoria degli animali,George Orwell,1945,140,4
Le avventure di Pinocchio,Carlo Collodi,1883,240,5
Il grande Gatsby,F. Scott Fitzgerald,1925,200,5
